user_id,display_name,reputation,gold_badges,silver_badges,bronze_badges
45375,mklement0,437080,68,701,910
479863,mu is too short,434585,71,857,818
27535,gbn,432180,83,598,685
155423,Shepmaster,430368,111,1235,1466
55159,Quassnoi,425251,93,626,619
256196,Bohemian,424973,100,599,745
33708,Mehrdad Afshari,421968,92,860,794
276052,aioobe,420921,114,827,838
1705598,icza,417432,75,1003,891
3043,Joel Coehoorn,415600,114,577,813
4279,jfs,414079,205,1027,1718
182668,Pointy,413682,62,594,626
28804,mipadi,410552,90,534,487
440558,Some programmer dude,409136,36,413,643
1288,Bill the Lizard,405675,211,572,889
21234,skaffman,403441,96,824,774
4909087,cs95,402263,104,735,790
104891,CrazyCoder,401877,182,1015,936
138475,Pascal MARTIN,400922,81,663,667
9530,Adam Rosenfield,400156,101,522,597
28169,unwind,399713,64,486,617
541136,Aaron Hall,394815,91,412,340
704848,EdChum,393893,202,834,582
1221571,Eran,393771,56,720,785
85371,sehe,392833,47,466,661
10661,S.Lott,391818,82,518,788
267,Lasse V. Karlsen,391276,106,646,844
3962914,Ronak Shah,388807,20,169,231
114251,Arun P Johny,388316,68,531,532
216074,poke,387517,80,590,628
1447675,Nina Scholz,386520,26,363,412
7432,Bryan Oakley,385830,53,571,728
589924,ikegami,385546,17,282,542
77567,rob mayoff,385500,69,831,878
560648,Lightness Races in Orbit,385098,77,664,1080
276101,polygenelubricants,383686,129,566,625
139459,Sarfraz,382616,82,559,612
895245,Ciro Santilli OurBigBook.com,382522,117,1311,1069
263525,Denys S&#233;guret,382092,90,810,775
14343,Ned Batchelder,375484,77,578,673
1240268,Andy Hayden,375377,108,638,540
501557,templatetypedef,372674,111,942,1095
3597276,Michael Benjamin,371003,110,610,727
9515207,CertainPerformance,370619,55,349,356
149392,sepp2k,370102,56,679,682
2988,J&#246;rg W Mittag,369430,79,453,662
2225682,falsetru,368904,66,763,658
143305,Dirk is no longer here,368181,58,664,740
908494,abarnert,365607,54,622,690
215945,Mark Rajcok,364677,114,500,493
413501,Ladislav Mrnka,364249,60,665,673
224132,Peter Cordes,363999,49,709,970
166749,Fred Foo,363487,79,760,846
2016562,Gabriele Mariotti,363479,109,1000,915
674039,wim,362487,109,663,797
171456,Carol Skelly,362290,91,734,645
68587,John Kugelman,361555,69,547,594
415784,Sarfaraz Nawaz,361252,120,676,861
118068,Marc B,360572,43,431,505
26428,Dennis Williamson,359875,95,381,444
139010,Matt Ball,359776,102,653,719
4883,readonly,355454,109,206,206
151292,James McNellis,354979,75,928,980
73070,Joey,354366,87,699,695
487339,DSM,352979,67,601,502
34211,Andrew Hare,351466,75,647,642
5459839,trincot,349956,36,271,322
938089,Rob W,348972,87,807,682
3153,Brian R. Bondy,347206,128,602,640
992484,MadProgrammer,347184,22,241,379
16883,Michael Borgwardt,346260,80,487,723
94197,Andy E,344517,86,480,450
222908,Daniel Vassallo,344261,72,512,446
70393,karim79,342625,67,417,407
131527,ghostdog74,342263,60,263,349
605744,Tomasz Nurkiewicz,340708,71,710,678
5190,Vinko Vrsalovic,340171,55,340,373
12711,Michael Burr,340168,52,548,770
6782,Alnitak,339786,71,418,502
4124317,ImportanceOfBeingErnest,339052,60,729,759
642706,Basil Bourque,338181,119,923,1265
18771,Tomalak,338128,68,546,635
519413,Rory McCrossan,337560,41,319,350
20670,Tim Pietzcker,336098,59,517,569
69755,Brian Campbell,332736,59,366,342
135152,OMG Ponies,332521,85,534,507
51816,Joan Venge,330872,223,495,706
1560062,zero323,330063,108,977,950
829571,assylias,328568,83,676,797
34088,Aaron Digulla,328556,110,623,836
2887218,jcalz,327624,29,434,439
507674,Niet the Dark Absol,324610,85,472,599
96100,Tim Down,324497,76,460,542
398670,Craig Ringer,324295,79,731,809
131872,camickr,324088,21,173,293
46058,Jakub Narębski,323374,66,225,232
7964527,BENY,323226,22,174,249
113716,user113716,322452,64,453,441
24181,Greg,321578,54,376,337
187690,AnT stands with Russia,320371,43,540,787
12855,SilentGhost,319531,67,310,294
1226963,rmaddy,318774,44,544,587
298479,ThiefMaster,318468,85,603,645
965051,adeneo,318172,29,404,391
807126,Doug Stevenson,317352,36,454,472
208809,Gordon,316939,76,546,565
1259510,JohnnyHK,311835,69,629,475
75170,John Feminella,311436,48,346,361
147356,larsks,311298,45,453,463
2422776,Mureinik,311018,54,350,387
2877241,Vlad from Moscow,310920,27,200,352
207421,user207421,310850,44,321,489
24874,Drew Noakes,310802,169,696,763
748858,mgilson,309821,70,651,717
113962,Alasdair,308779,59,600,532
37213,duffymo,308733,46,375,566
5987,Mark Ransom,308111,44,417,649
40342,Joachim Sauer,308001,59,566,621
116,Mark Harrison,304434,131,352,493
174728,John La Rooy,304127,54,377,512
405017,Phrogz,303136,113,667,756
2069064,Barry,302698,31,690,1048
526535,manojlds,301037,65,481,426
6521,Paul Dixon,300825,54,314,349
16076,Mitch Wheat,300489,44,477,550
147192,Matthieu M.,299730,55,482,747
97337,Rob Napier,299265,36,484,650
342852,Sean Patrick Floyd,298818,71,475,595
2711488,Holger,298103,42,469,811
464744,Blender,298076,55,458,510
53013,Daniel C. Sobral,297155,87,507,686
14122,Charles Duffy,295291,43,431,484
2336654,piRSquared,294218,65,504,647
105929,Remus Rusanu,294197,41,454,581
98713,Thomas Levesque,292355,72,636,767
1983854,fedorqui,289495,108,587,628
1529630,Oriol,287960,70,456,529
35070,phihag,287755,75,467,483
6068,Pablo Fernandez,287390,139,401,641
522444,Hovercraft Full Of Eels,285405,25,264,385
5044042,vadian,285059,32,374,373
47773,Matthew Flaschen,284786,53,521,552
325565,Joe Kington,284562,72,618,472
103167,Ben Voigt,283624,45,436,746
65387,mpen,282805,281,888,1295
5928186,Shubham Khatri,281626,58,429,411
21886,RichieHindle,281365,49,366,408
61305,Aaron Bertrand,280252,38,480,506
2357112,user2357112,280227,31,478,559
438154,Sotirios Delimanolis,279880,62,713,737
13005,Steve Jessop,279215,40,469,708
8394265,R&#233;mi Rousselet,276891,89,553,451
1348195,Benjamin Gruenbaum,276276,89,518,514
390330,basarat,276199,60,473,527
1774667,Yakk - Adam Nevraumont,275220,30,352,558
7412,dogbane,274532,77,405,415
63051,flybywire,273452,200,404,509
8206,Eli Bendersky,273366,91,362,422
60761,Henk Holterman,273179,32,349,533
8620333,Temani Afif,272590,28,361,479
129570,Oliver Charlesworth,272467,34,589,687
12960,Brian Agnew,272217,38,340,442
87015,Salman Arshad,272006,84,442,533
179736,TIMEX,271604,367,800,1094
5133585,Sweeper,270790,23,235,384
541091,Michael Berkowski,270599,47,450,393
3474,erickson,269627,59,403,497
516548,G. Grothendieck,269431,18,219,360
55847,LukeH,269288,59,371,411
174777,John Rotenstein,269101,28,443,530
54680,Sampson,268324,76,545,568
458193,Dan Abramov,268215,86,416,518
6618622,CopsOnRoad,267404,95,697,467
49153,Ali,267049,267,590,784
39677,Blankman,266910,330,795,1247
112968,knittl,265141,57,334,396
14065,Loki Astari,264331,86,342,572
491243,John Woo,263683,69,507,499
596285,BMitch,263469,50,536,498
1855677,IRTFM,263301,22,378,499
827263,Keith Thompson,263177,46,441,653
252000,fredoverflow,263078,100,402,673
464709,Fr&#233;d&#233;ric Hamidi,262919,42,495,484
14955,Thilo,262474,105,521,669
16343464,mozway,260300,13,49,96
673730,Luchian Grigore,258548,66,464,630
126042,Mark Rushakoff,258128,47,411,401
12299030,Asperi,257533,25,573,846
12597,Ian Boyd,256581,266,910,1261
251311,zerkms,254886,73,446,547
204847,Mike Seymour,254431,30,463,654
3730754,LoicTheAztec,253784,24,396,443
82548,David Thomas,253308,53,381,418
1427416,BrenBarn,251365,39,418,389
846892,Ashwini Chaudhary,250881,60,474,515
75525,Fenton,250822,73,400,409
125734,Titian Cernicova-Dragomir,249466,37,459,388
4323,John Zwinck,249103,43,338,452
33213,Stack Overflow is garbage,247899,52,353,555
426671,Taryn,247620,57,370,408
5233410,Nkosi,246998,38,461,495
7552,glenn jackman,246744,42,228,361
6464308,Laurenz Albe,246083,21,289,363
84651,Justin Niessner,245389,40,415,544
41071,svick,244757,53,404,529
366904,Cody Gray,244692,53,503,583
6622587,eyllanesc,243897,19,199,278
36305,Dimitre Novatchev,243459,27,303,436
115730,Dave DeLong,243146,58,451,498
33518,Tomas Petricek,243041,22,394,563
103154,axtavt,242686,41,516,486
1030675,choroba,241758,27,217,299
1199,Blair Conrad,241714,25,136,112
1566221,rici,241671,28,257,358
45914,jason,241583,35,434,531
634824,Matt Johnson-Pint,241440,75,462,607
260990,Jigar Joshi,240860,42,409,446
2680216,Josh Crozier,240858,56,400,313
8985,Ryan McGeary,239885,13,99,104
12870,Oli,239820,66,226,304
152948,hobbs,239682,20,222,301
15498,Damien_The_Unbeliever,239636,28,355,465
1903116,thefourtheye,239443,53,464,500
229044,user229044,239230,41,344,346
654031,Chris Pratt,239220,37,408,464
134633,caf,239011,41,337,474
48523,Andrew,238617,195,530,718
2079303,eerorika,238301,12,206,346
248823,Marcin,238081,15,308,363
50552,Andomar,238048,53,386,410
417562,lonesomeday,237817,53,327,328
50742,Chuck,237010,30,305,392
2303865,Leo Dabus,236260,60,507,600
470005,Sergey Berezovskiy,236188,42,438,465
201359,&#211;scar L&#243;pez,235984,37,319,389
1386886,jAndy,235962,57,311,363
535871,Ted Hopp,234795,48,409,531
2380830,Bathsheba,234635,35,373,500
46642,R. Martinho Fernandes,234354,72,441,516
126014,Mark Seemann,233125,49,447,773
10397,Justin Cave,231651,25,377,392
901925,hpaulj,231335,14,254,378
36723,bdonlan,231063,31,274,326
125816,Sergio Tulentsev,230286,43,377,371
11236,ripper234,229988,280,645,914
56338,sth,229563,56,287,369
15055,Claudiu,229301,173,503,698
126769,nos,229058,60,433,514
405015,thirtydot,228152,49,392,353
661519,juanchopanza,227370,35,414,489
206403,gen_Eric,227190,42,303,342
424499,Raymond Hettinger,226181,66,402,500
190277,Ben Bolker,226057,26,397,491
707111,Ry-,224859,56,489,497
116908,Carl Norum,224844,42,438,479
193688,Chris Johnsen,224591,27,214,189
140719,sbi,224029,46,264,447
1687119,dbush,223689,24,242,311
961113,Habib,223187,30,418,443
13,C. K. Young,222973,47,390,443
17160,nosklo,222802,58,296,297
1749403,Sajeetharan,222522,65,365,408
1090562,Salvador Dali,222461,151,724,765
10676716,GMB,222402,25,99,147
3731501,Estus Flask,222309,78,469,605
298225,Eric Postpischil,222302,14,185,356
320615,Dogbert,222040,42,417,414
315935,Oleg,221997,35,412,812
3293881,Divakar,221504,19,269,369
1704166,Ryan Cavanaugh,220904,59,278,235
521799,Lukas Eder,220762,135,719,1593
95706,Dan Moulding,220463,25,99,100
825568,Joseph Silber,219920,59,368,293
250259,John Conde,219794,99,462,501
328193,David,218798,40,224,320
40521,Shyju,218702,106,419,498
576911,Howard Hinnant,218700,55,476,598
4604579,Val,217254,14,369,375
76217,dtb,217233,37,411,437
2684539,Jarod42,217085,15,194,327
1197518,Steve,216243,22,240,295
379897,R.. GitHub STOP HELPING ICE,215193,36,397,735
989121,georg,214949,56,322,398
4983450,akuiper,214927,33,360,377
825,Pat Notz,214186,31,94,92
5485167,yurzui,214007,32,447,411
50617,Employed Russian,213385,36,318,384
584518,Lundin,213306,45,272,429
82294,Dietrich Epp,213258,38,360,422
1679863,Rohit Jain,213193,45,414,533
253056,Paul R,212929,38,401,575
449449,eumiro,212825,36,305,263
324584,Mark Baker,212402,34,353,390
140750,William Pursell,212198,48,274,313
43089,Kenan Banks,211924,36,159,175
87189,tadman,211540,23,235,265
5577765,Rabbid76,210877,30,156,198
5741205,MaxU - stand with Ukraine,210822,37,402,432
541686,user541686,210352,133,555,918
5486,Ryan Lundy,210090,41,184,216
394487,siride,209445,5,42,63
2189127,James_D,209225,16,310,344
2587435,Paul Samsotha,208944,39,499,747
505154,Andrew Clark,208405,35,282,309
36565,David Rodr&#237;guez - dribeas,208323,23,302,494
616443,j08691,207861,32,267,280
243782,Pentium10,207830,124,433,511
14104,epascarello,207501,20,205,244
2836621,Mark Setchell,207355,32,301,477
135589,Jesper,206776,46,324,360
635608,Mat,206669,41,400,416
434551,R Sahu,206567,15,165,286
452307,Alok Save,206508,54,444,538
2372064,MrFlick,206167,19,293,317
383904,Roko C. Buljan,205987,41,327,335
230513,trashgod,205775,33,261,1072
5202563,Ivan Stoev,205539,17,343,367
575376,juergen d,204746,39,301,374
20713,ephemient,204668,39,288,399
615,Matt Hamilton,204129,61,392,321
1159478,Servy,203802,27,347,465
893780,robertklep,203231,37,411,402
1745001,Ed Morton,203169,18,87,203
8690857,Drew Reese,202605,17,234,266
41661,Norman Ramsey,202475,62,371,541
1873365,Thierry Templier,202138,44,404,364
850848,Martin Prikryl,202088,64,543,1076
153982,Keith Hill,201602,44,364,376
1084437,Jukka K. Korpela,201528,38,279,404
2970947,Elliott Frisch,201409,20,164,261
7108653,Tanaike,201378,12,119,210
3560,John Millikin,200746,41,215,228
13070,Mark B,200456,27,329,324
1630171,Ansgar Wiechers,200193,26,281,355
1103872,Marko Topolnik,200138,30,334,452
244296,Cristian,200080,63,360,265
1676363,ianhanniballake,199805,31,503,478
20654,OscarRyz,199205,119,397,574
2147,Jason Baker,198527,138,383,521
240443,Amadan,198294,23,251,318
342235,Freewind,198188,163,452,733
869736,Louis Wasserman,198014,26,362,431
367456,hakre,197564,55,446,854
546861,romainl,196466,21,297,333
4653,leora,196439,367,906,1385
128165,Gabriele Petrioli,195972,34,271,328
10035985,Andrej Kesely,195408,15,57,103
164835,Kent,195029,36,242,312
3171,David Webb,193696,57,316,302
1270695,A5C1D2H2I1M1N2O1R2T1,193507,30,412,494
4639,Edward Tanguay,193282,319,725,1062
949476,dfsq,193261,26,242,259
7429447,undetected Selenium,193058,44,303,378
1694,Eli Courtwright,192891,68,222,257
48082,Cheeso,192417,105,484,734
4872,Ray,192186,99,227,206
5157454,Ori Drori,191936,32,237,226
13531,Michael Myers,191855,47,296,295
454533,Explosion Pills,191729,55,340,416
2308683,OneCricketeer,191681,20,141,267
266304,Alex Poole,191235,11,192,337
23528,Daniel A. White,190907,49,379,463
260127,prosseek,190659,226,583,885
44330,Jason S,189626,174,632,999
114066,Janusz,189444,115,304,371
17516,AnthonyWJones,189437,35,235,307
874188,tripleee,189317,36,312,360
89391,miku,188004,47,313,317
2648,D&#243;nal,187499,177,584,843
47738,rahul,187020,50,238,264
62076,Alex Wayne,186984,52,323,356
2319407,Dmitrii Bychenko,186668,20,171,225
145190,meder omuraliev,186562,76,400,442
425275,Šime Vidas,185873,65,286,391
9990,Marcelo Cantos,185852,40,335,366
582,Lily Ballard,185663,34,388,349
82187,Adam Robinson,185593,36,292,350
465183,Gilles Qu&#233;not,184965,43,231,229
546730,brunnerh,184296,30,354,427
416467,kindall,184081,36,289,318
1011995,Daniel Fischer,183873,17,317,435
165673,Yarin,183429,155,410,523
51518,Devoted,183313,43,93,111
978917,ruakh,183211,29,290,323
3333,Paul Tomblin,182772,59,323,411
721269,David Schwartz,182753,18,225,289
714501,cnicutar,182619,26,376,398
1057,Harley Holcombe,181730,15,72,63
14637,Thomas,181715,56,377,503
67606,Pablo Santa Cruz,181270,33,248,298
91,Michael Stum,180884,119,407,541
477878,Joachim Isaksson,180867,27,294,305
102937,Robert Harvey,180787,48,347,512
836330,Mark,180649,30,528,536
4342498,NathanOliver,180415,29,315,430
2141635,Padraic Cunningham,180391,30,261,324
2402272,John Bollinger,180058,11,93,186
11654,CL.,180010,17,239,278
1902010,ceejayoz,179994,41,309,380
15416,MSalters,179779,11,167,369
602276,Andrie,179398,51,453,503
1204143,nneonneo,179392,37,327,409
58808,Ionuț G. Stan,179098,19,195,204
497418,zzzzBov,179046,56,327,371
1695906,Michael - sqlbot,178966,28,386,454
5380,Kent Boogaart,178630,37,399,395
572670,amit,178411,27,244,342
1707091,rgettman,178243,30,279,360
295783,mplungjan,177684,28,180,240
19750,Josh Lee,177520,39,277,281
235698,Mark Tolonen,177461,26,180,268
270591,Slauma,177133,60,404,422
314488,Pranay Rana,176886,37,243,265
500584,agf,176730,45,298,239
3923281,Alex Riley,176730,46,272,245
271616,Joshua Ulrich,176638,33,352,424
813,Paige Ruten,176635,37,182,199
123527,Simone Carletti,176352,50,367,369
40347,Dirk Vollmar,176159,53,259,317
246342,Alex K.,175748,32,274,295
1965,FlySwat,175573,75,248,314
5070879,Lukasz Szozda,175556,25,270,311
309308,Michael Mrozek,175325,29,170,178
871050,Madara&#39;s Ghost,174947,50,272,314
429846,Gavin Simpson,174788,25,404,459
3297613,Avinash Raj,174696,31,244,287
790387,Burhan Khalid,174614,19,251,290
1240763,Gary Russell,174494,14,165,193
712649,Mathias R. Jessen,174435,13,172,228
572644,Daniel Hilgarth,174289,40,342,449
12500315,Allan Cameron,173793,7,63,109
1338292,Ja͢ck,173522,39,266,314
324364,joran,173517,33,435,481
5221944,Mikhail Berlyant,172944,9,171,248
3309790,songyuanyao,172864,16,323,431
264697,Steven,172606,25,349,449
813602,Ingo Karkat,172510,16,260,337
1501794,Rahul Tripathi,172378,33,290,339
87698,Heinzi,172200,61,380,543
126214,Lennart Regebro,172179,44,229,253
113570,Philippe Leybaert,171734,33,212,224
1175966,charlietfl,171679,13,125,151
39430,D&#39;Arcy Rittich,171351,41,297,285
247243,Misha Moroshko,171321,229,520,759
981959,Jonathan Wakely,171263,28,354,533
122718,usr,171178,36,248,378
1782465,Angew is no longer proud of SO,171097,18,373,473
6509,tim_yates,171054,29,358,353
137350,Vladimir,170829,36,391,313
9204,Alexey Romanov,170713,37,324,505
57428,sharptooth,170479,108,538,1011
99834,sorin,170330,190,571,846
19679,Brad Larson,170309,45,400,572
50476,Bart Kiers,170138,37,306,295
817643,StoryTeller - Unslander Monica,170044,22,395,475
745,dbr,169535,69,283,347
48015,Christoph,169533,36,186,241
419970,Raynos,169373,57,356,398
42346,mechanical_meat,169274,25,235,226
7252182,mm8,169150,10,65,97
501250,cdhowie,168958,25,299,318
51685,AKX,168834,16,141,215
418556,Andrew Thompson,168815,41,222,436
352765,Spudley,168655,39,238,308
8747,Robᵩ,168596,20,249,323
314166,sawa,168071,49,285,396
2897748,Dmitri T,167992,5,89,148
247533,Rex Kerr,167871,27,325,411
1509264,MT0,167774,11,66,127
252228,Martin Honnen,167446,6,97,121
462627,Praveen Kumar Purushothaman,167162,27,213,259
221700,peterSO,166539,32,302,291
144424,Adriaan Stander,166336,31,293,286
55075,kenorb,166319,94,708,778
478884,Tim Williams,166126,8,100,138
35364,hasen,166112,66,196,233
4668,Alana Storm,166046,95,416,618
790695,James Allardice,165941,22,334,315
338665,ircmaxell,165193,35,268,315
24545,Yuval Adam,165182,95,316,404
783119,LazyOne,165088,47,413,415
283366,Phil,164733,25,259,267
14660,Schwern,164639,27,218,363
9209546,jpp,164613,35,298,355
13627,driis,164281,46,270,345
942852,Nitzan Tomer,164129,51,328,306
10498828,forpas,164064,10,45,82
1227923,Alexey Mezenin,163748,26,303,285
362536,Brad,163272,55,377,552
415448,Michael Kay,163262,11,95,171
33732,Rob Kennedy,163247,23,284,477
220819,Jacob Relkin,163228,33,351,321
5424988,The fourth bird,163207,16,59,74
128983,hap497,162925,43,85,102
166339,Asaph,162771,25,203,204
25646,bbum,162712,23,274,359
980833,Josh O&#39;Brien,162311,29,376,461
524368,datenwolf,162164,13,191,311
76337,John Saunders,161773,26,250,402
348785,kev,161604,49,283,280
785065,loganfsmyth,161447,30,345,257
1210329,geocodezip,161324,14,225,255
17172,coobird,160954,35,214,227
329769,BrokenGlass,160852,28,293,339
762073,xdazz,160833,38,253,278
128421,the Tin Man,160551,44,221,306
3358272,r2evans,160407,7,85,166
4952130,Dimitris Fasarakis Hilliard,160377,34,280,264
438992,Dave Newton,160170,27,258,307
135978,Sean Vieira,159865,34,319,296
871026,Reimeus,159754,16,223,280
811,Shog9,159590,36,235,240
1155209,jewelsea,159291,15,380,417
46646,user46646,159261,46,81,84
62082,Michelle Tilley,159095,40,377,311
5221149,Andreas,159086,13,161,258
10008173,David Maze,158696,44,239,283
1708801,Shafik Yaghmour,158449,43,462,767
93623,Fredrik M&#246;rk,158289,29,294,348
14069,oz10,158264,27,98,129
39321,Svish,157981,180,475,629
171318,hek2mgl,157947,29,259,275
285587,Your Common Sense,157828,42,221,364
501696,Blackbelt,157437,30,307,308
567292,ecatmur,157314,28,310,384
1542290,Mr. Alien,157284,36,303,285
993547,Patrick Hofman,156918,23,266,337
120955,StriplingWarrior,156459,29,256,321
244128,maerics,156374,47,277,299
65696,SingleNegationElimination,156138,35,268,306
2688,bdukes,155895,25,150,176
905,Keith,155622,82,308,449
364696,ShadowRanger,155323,12,212,304
159145,Dai,155015,30,297,420
1600898,user4815162342,154846,22,330,393
514749,pimvdb,154818,80,311,356
1709587,Mark Amery,154545,90,428,470
1630618,vacawama,154523,32,280,311
89771,Alix Axel,154513,99,401,505
71522,David Wolever,154454,93,362,510
649665,James Kanze,153899,18,189,336
445131,Eric Leschinski,153822,96,422,336
1120273,Dietmar K&#252;hl,153792,18,236,394
1025118,Vlad Mihalcea,153700,84,589,977
6361531,Scott Boston,153460,15,156,203
2410359,chux,153338,16,146,289
489564,RNA,153251,16,55,73
27862,user123444555621,152956,27,117,126
1903366,lukasgeiter,152860,29,349,280
101361,laalto,152787,67,290,304
791604,Daniel Wagner,152682,10,227,388
84201,Jitendra Vyas,152617,238,585,866
5393381,MSeifert,152587,41,350,366
1081897,D Stanley,152501,11,188,253
4851590,Scott Craner,152450,10,51,86
223386,hsz,152206,62,266,320
1269037,Dan Dascalescu,151916,64,332,419
1695960,Robert Crovella,151799,12,243,290
266143,CodeCaster,151588,24,232,284
1906307,Louis,151380,28,284,328
2313887,Neil Lunn,151072,36,354,324
325418,nonopolarity,150966,141,489,781
577088,senderle,150947,36,217,238
305,Mark Biek,150739,54,159,201
4238408,Quang Hoang,150735,10,61,83
1333873,Golo Roden,150614,101,314,440
41116,Abizern,150565,41,208,260
247696,Flimm,150523,49,273,286
601179,gdoron,150253,59,301,371
141172,Eric J.,150108,65,352,560
615754,nnnnnn,150010,30,208,247
244297,Eugene Yarmash,149736,44,342,388
1870803,Yuval Itzchakov,149518,32,272,332
96656,Mathias Bynens,149484,52,222,250
4766,Daryl Spitzer,149334,77,157,178
1140579,Siddharth Rout,149277,18,210,256
1715579,p.s.w.g,148980,31,303,336
383861,bdoughan,148977,24,306,406
3545273,Serge Ballesta,148870,13,132,260
97101,markdorison,148654,27,57,72
859154,Royi Namir,148514,144,491,829
1298762,Adil,148110,25,216,207
2196460,hotkey,147901,43,389,332
257182,RobG,147343,32,179,214
44389,Noldorin,147240,56,273,308
135531,AdaTheDev,147224,28,213,203
18300,Alex. S.,147186,21,57,62
9473764,Nick,147146,23,64,104
4725,Tom Hawtin - tackline,147124,30,221,312
298661,Puppy,146910,40,268,478
2830850,Tarun Lalwani,146510,11,213,276
32632,Charles Bretana,146409,23,155,218
13508,&#193;lvaro Gonz&#225;lez,146350,45,275,375
561731,Naftali,146302,41,247,304
741747,The Alpha,146191,29,293,311
146325,APC,146179,20,177,286
140740,DigitalRoss,146053,25,252,331
266795,Peter Lyons,145994,31,284,279
16940,Simon_Weaver,145880,91,675,714
1119701,ouah,145829,15,286,338
903061,Gregor Thomas,145755,22,184,313
345031,mario,145482,20,241,293
1249581,VisioN,145368,34,286,289
464581,Cheers and hth. - Alf,145204,15,216,340
5441,Darryl Hein,144927,96,223,263
201952,josh3736,144832,34,226,270
848164,Ram,144659,16,172,200
4593267,chqrlie,144550,12,130,209
152602,Lee,144126,20,239,290
67,Rex M,144112,34,291,315
851273,Jon Lin,143856,29,223,223
78374,Stefano Borini,143765,100,308,446
85785,mythz,143284,30,252,396
49485,Sophie Alpert,143114,36,225,243
90848,Laurence Gonsalves,143064,38,262,310
95382,Michael Krelin - hacker,143061,25,199,177
1209279,Levon,143027,35,203,193
546661,Peter Olson,142911,49,208,248
9097906,Littlefoot,142720,15,40,62
1832058,furas,142631,12,114,161
2231815,rakib_,142545,4,21,27
1766831,Rick James,142208,15,140,246
1252759,Jon Clements,142106,34,252,286
6819,Darrel Miller,142014,32,200,247
1755598,CodeWizard,141946,22,157,179
165737,Anurag,141859,37,222,261
